candidate_id,raw_refcode,source_doi,original_model_split,final_evaluation_split,exclusion_reason
mofsimplify_solvent_val_00128_UJOKIP03,UJOKIP03,10.1021/acs.inorgchem.5b02956,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00130_JEJKEP,JEJKEP,10.1021/cg050382q,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00131_JEJKIT,JEJKIT,10.1021/cg050382q,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00132_JORBAV,JORBAV,10.1021/cg400909b,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00135_KADLUZ,KADLUZ,10.1021/acs.cgd.5b01307,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00136_KAHYOJ,KAHYOJ,10.1002/ejic.201000344,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00147_KIXKOS,KIXKOS,10.1002/adma.200700450,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00159_LITCIC,LITCIC,10.1039/C3CE42152J,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00165_MAGVOG16,MAGVOG16,10.1038/ncomms5337,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00166_MAGVOG27,MAGVOG27,10.1038/ncomms5337,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00167_MAGVOG31,MAGVOG31,10.1038/ncomms5337,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00168_MAGVOG32,MAGVOG32,10.1038/ncomms5337,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00169_MAGVOG35,MAGVOG35,10.1038/ncomms5337,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00170_MAKGEN,MAKGEN,10.1021/acs.cgd.6b00060,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00185_NIBHOW,NIBHOW,10.1021/ja067435s,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00186_NIBHUC,NIBHUC,10.1021/ja067435s,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00188_WEVQOD,WEVQOD,10.1039/a909544f,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00211_OWAVIS,OWAVIS,10.1021/cg101569a,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00213_OWIHEJ,OWIHEJ,10.1021/jacs.6b01323,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00214_OWIJAH,OWIJAH,10.1021/jacs.6b01323,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00215_OWIJIP,OWIJIP,10.1021/jacs.6b01323,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00220_PAMTII,PAMTII,10.1021/cg2010425,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00222_PIJDIX,PIJDIX,10.1039/C3DT51434J,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00223_PIQMUZ,PIQMUZ,10.1021/ic4020256,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00224_PIYZED02,PIYZED02,10.1002/anie.200704421,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00228_PURJES,PURJES,10.1039/b913910a,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00229_PUZKOM,PUZKOM,10.1039/C5CE01886B,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00242_QUSCAJ,QUSCAJ,10.1021/cg9007476,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00250_RIXBIK,RIXBIK,10.1021/cg700797v,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00263_SOTXAC,SOTXAC,10.1021/cg500114k,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00266_TAGTED,TAGTED,10.1021/acs.cgd.5b01297,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00267_TAKHEV,TAKHEV,10.1021/acs.inorgchem.5b02193,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00280_UFISUY,UFISUY,10.1021/ic702403h,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00289_UWODAN,UWODAN,10.1002/zaac.201100082,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00296_VAZLEP,VAZLEP,10.1021/cg3004036,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00297_VAZMAM,VAZMAM,10.1021/cg3004036,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00298_VAZMIU,VAZMIU,10.1021/cg3004036,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00299_VAZMOA,VAZMOA,10.1021/cg3004036,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00300_VEDFAN,VEDFAN,10.1039/c2jm33269h,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00301_VEDGES,VEDGES,10.1039/c2jm33269h,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00302_VEDGIW,VEDGIW,10.1039/c2jm33269h,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00303_VEGXIQ01,VEGXIQ01,10.1039/c2ce06563k,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00312_WOPHEQ,WOPHEQ,10.1021/cg500751e,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00317_WUYXIZ,WUYXIZ,10.1039/C5TA04551G,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00339_YOYTUD,YOYTUD,10.1021/cg5010616,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00340_YOZYOD,YOZYOD,10.1039/C5CE00083A,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00345_ZOXTOX,ZOXTOX,10.1039/C4DT02047B,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00346_ZOYKEF,ZOYKEF,10.1021/ic502664e,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00014_AVELOD,AVELOD,10.1021/cg200242n,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00019_AZAWAB,AZAWAB,10.1021/acs.inorgchem.5b01900,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00035_BUCVAY,BUCVAY,10.1002/ejic.201500069,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00043_CAVSUP,CAVSUP,10.1039/c2dt11992g,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00048_CODSUL,CODSUL,10.1039/C4CE00093E,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00050_COKROL,COKROL,10.1039/c3ce41090k,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00051_CORZIU,CORZIU,10.1039/C4CE01326C,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00055_CUFDUD,CUFDUD,10.1021/ja906302t,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00064_DEZKEA,DEZKEA,10.1039/C3CE40565F,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00066_DIMKER,DIMKER,10.1021/cg4009587,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00069_QIRYAS,QIRYAS,10.1039/b715808d,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00070_DOMCUE,DOMCUE,10.1039/b802196a,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00071_DONKUO,DONKUO,10.1039/C4CE01581A,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00088_ETECOX,ETECOX,10.1021/acs.inorgchem.6b01341,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00091_ETIXIQ,ETIXIQ,10.1021/acscentsci.6b00168,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00092_EVUNIT,EVUNIT,10.1021/cg1015753,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00098_FAWCEN02,FAWCEN02,10.1021/jp303907p,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00101_FIRNIF,FIRNIF,10.1038/srep03312,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00106_LAXGOH03,LAXGOH03,10.1021/acsami.5b06301,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00108_GAJZIC,GAJZIC,10.1039/b9nj00456d,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00109_GAKBAX,GAKBAX,10.1039/b9nj00456d,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00117_GIQYOV,GIQYOV,10.1021/ic0621695,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00118_GIRYIR,GIRYIR,10.1039/C3CC49106D,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00119_GIRZAK,GIRZAK,10.1039/C3CC49106D,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00134_HEFFEF,HEFFEF,10.1002/anie.201203594,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00135_HEGNIR,HEGNIR,10.1021/cm052859r,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00143_HUYXOP,HUYXOP,10.1021/ic901564y,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00145_ZEHCAQ01,ZEHCAQ01,10.1039/b008286o,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00147_IFAREN,IFAREN,10.1021/ic701573r,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00148_KINFEU,KINFEU,10.1021/cg400531j,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00149_RESWUI02,RESWUI02,10.1021/cg400531j,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00150_IKETUO,IKETUO,10.1039/c0ce00340a,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00156_UJOJIO07,UJOJIO07,10.1021/acs.inorgchem.5b02956,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00157_UJOJOU,UJOJOU,10.1021/acs.inorgchem.5b02956,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00158_UJOKIP02,UJOKIP02,10.1021/acs.inorgchem.5b02956,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00166_KAHYID,KAHYID,10.1002/ejic.201000344,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00171_KEFBOO,KEFBOO,10.1021/ic202085j,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00172_KEHDOS,KEHDOS,10.1039/c2dt30362k,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00173_KEHGEL,KEHGEL,10.1039/c2dt30362k,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00181_KIKDAL,KIKDAL,10.1039/C3CE41238E,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00183_KINROQ,KINROQ,10.1021/cg400333d,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00187_KOMCOG,KOMCOG,10.1002/chem.201402211,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00190_KOSLIP,KOSLIP,10.1021/ja506230r,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00194_LAFFEG,LAFFEG,10.1002/chem.201504432,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00202_LITCUO,LITCUO,10.1039/C3CE42152J,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00203_LITDAV,LITDAV,10.1039/C3CE42152J,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00204_LUNBAX,LUNBAX,10.1021/cm020103b,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00207_MAGVOG14,MAGVOG14,10.1038/ncomms5337,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00208_MAGVOG15,MAGVOG15,10.1038/ncomms5337,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00209_MAGVOG18,MAGVOG18,10.1038/ncomms5337,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00210_MAKFIQ,MAKFIQ,10.1021/acs.cgd.6b00060,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00211_MAKFOW,MAKFOW,10.1021/acs.cgd.6b00060,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00212_MATVIN,MATVIN,10.1021/ic050452i,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00224_MUFXUI,MUFXUI,10.1039/C4CE02564D,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00225_MUPYIG,MUPYIG,10.1021/cg9012894,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00242_WEVQIX,WEVQIX,10.1039/a909544f,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00266_OWIHOT,OWIHOT,10.1021/jacs.6b01323,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00272_PEPBAO,PEPBAO,10.1021/ic0605266,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00274_PEVQOY,PEVQOY,10.1039/C3CC40635K,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00276_PIYZED01,PIYZED01,10.1002/anie.200704421,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00277_POFSIN04,POFSIN04,10.1002/anie.200704421,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00282_PUZLAZ,PUZLAZ,10.1039/C5CE01886B,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00287_QEBGEL,QEBGEL,10.1039/c2sc20443f,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00290_QEZZAY,QEZZAY,10.1021/ic3027682,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00291_QOBWEJ,QOBWEJ,10.1021/cm000283u,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00302_QUJJUC,QUJJUC,10.1021/acs.inorgchem.5b00451,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00307_RAYLOU,RAYLOU,10.1039/c2cc32103c,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00317_ROCZUG,ROCZUG,10.1039/C4CE00347K,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00318_ROMQAN,ROMQAN,10.1002/chem.201403162,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00332_SOTWOP,SOTWOP,10.1021/cg500114k,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00336_TAGTIH,TAGTIH,10.1021/acs.cgd.5b01297,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00340_TIQGUW,TIQGUW,10.1021/cm070930i,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00341_TIQHIL,TIQHIL,10.1021/cm070930i,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00354_UDOVUG,UDOVUG,10.1039/C3CE40673C,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00362_USISEW,USISEW,10.1021/acs.inorgchem.6b00813,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00364_VAGBOX,VAGBOX,10.1039/C5CE02544C,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00368_VAZLIT,VAZLIT,10.1021/cg3004036,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00369_VAZLUF,VAZLUF,10.1021/cg3004036,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00370_VEHLIE,VEHLIE,10.1021/ic060059s,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00374_VETTOE,VETTOE,10.1021/cg060520r,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00380_WAQFIG,WAQFIG,10.1021/acs.cgd.7b00119,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00383_WENKIL,WENKIL,10.1039/c2dt32390g,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00392_WUYWIY,WUYWIY,10.1039/C5TA04551G,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00393_WUYYEW,WUYYEW,10.1039/C5TA04551G,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00400_XASPEP,XASPEP,10.1002/zaac.201600356,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00403_XEDPED,XEDPED,10.1039/c2cc32927a,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00410_XOVYIR,XOVYIR,10.1021/cg800329k,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00425_YOYTOX,YOYTOX,10.1021/cg5010616,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00426_YOYWEQ01,YOYWEQ01,10.1021/cg5010616,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00427_YOZJEE01,YOZJEE01,10.1021/cg5010616,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_test_00432_ZEFVIR,ZEFVIR,10.1039/c2ce25859e,calibration,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00004_AFOYOK,AFOYOK,10.1039/b806671j,test,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00009_AQALIO,AQALIO,10.1002/zaac.201000378,test,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00017_BAHGUN01,BAHGUN01,10.1039/b200213b,test,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00019_BAXGAK,BAXGAK,10.1021/ic202626c,test,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00023_BEPVID,BEPVID,10.1039/c3sc00016h,test,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00026_BEXRUT,BEXRUT,10.1039/C3CE27023H,test,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00027_BIZMAA,BIZMAA,10.1002/chem.201402255,test,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00032_CAZNOI,CAZNOI,10.1039/c2cc35399g,test,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00039_DAWBUA,DAWBUA,10.1021/cg201447c,test,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00041_DEJCIF,DEJCIF,10.1021/cg060087l,test,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00043_NIBXUT,NIBXUT,10.1021/cm302381k,test,excluded_train_source_overlap,source DOI group also present in training
mofsimplify_solvent_val_00044_TIDMEA,TIDMEA,10.1021/cm302381k,test,excluded_train_source_overlap,source DOI group also present in training
